Name;Sex;BirthDate;Address;PhoneNumber;Email;SNSUSerNumber;CitizenCardNumber
Thiago Cardoso;;1/7/1959;Rua São Roque da Lameira|269|4350-317|PORTO;953226242;953226242@gmail.com;161595031;10097741
João Felipe Freitas;;18/01/1960;Rua São Roque da Lameira|280|4350-307|PORTO;953226243;953226243@gmail.com;161595032;10097742
Pedro Miguel da Cruz;;22/01/1961;Rua São Roque da Lameira|470|4350-309|PORTO;953226244;953226244@gmail.com;161595033;10097743
Manuela Fogaça;;10/8/1961;Rua São Roque da Lameira|178|4350-311|PORTO;953226245;953226245@gmail.com;161595034;10097744
Sr. Benício Jesus;;3/7/1958;Rua São Roque da Lameira|72|4350-312|PORTO;953226246;953226246@gmail.com;161595035;10097745
Sr. Emanuel Alves;;24/09/1959;Rua São Roque da Lameira|444|4350-301|PORTO;953226247;953226247@gmail.com;161595036;10097746
Otávio Lopes;;30/12/1960;Rua São Roque da Lameira|89|4350-302|PORTO;953226248;953226248@gmail.com;161595037;10097747
Kamilly da Paz;;21/07/1962;Rua São Roque da Lameira|38|4350-303|PORTO;953226249;953226249@gmail.com;161595038;10097748
Joaquim Rodrigues;;10/7/1963;Rua São Roque da Lameira|226|4350-304|PORTO;953226250;953226250@gmail.com;161595039;10097749
Ana Luiza da Rosa;;17/01/1959;Rua São Roque da Lameira|202|4350-298|PORTO;953226251;953226251@gmail.com;161595040;10097750
Caué Lima;;9/8/1957;Rua São Roque da Lameira|539|4350-305|PORTO;953226252;953226252@gmail.com;161595041;10097751
Yuri Rocha;;25/04/1959;Rua São Roque da Lameira|588|4350-306|PORTO;953226253;953226253@gmail.com;161595042;10097752
Vitor Gabriel Ferreira;;12/4/1957;Rua São Roque da Lameira|520|4350-299|PORTO;953226254;953226254@gmail.com;161595043;10097753
Matheus da Conceição;;20/10/1954;Rua São Roque da Lameira|104|4350-300|PORTO;953226255;953226255@gmail.com;161595044;10097754
Lavínia Alves;;27/02/1955;Rua São Rosendo|270|4300-478|PORTO;953226256;953226256@gmail.com;161595045;10097755
Emilly Gomes;;15/12/1953;Rua São Rosendo|490|4300-476|PORTO;953226257;953226257@gmail.com;161595046;10097756
Benjamin Barros;;23/12/1953;Rua São Rosendo|275|4300-477|PORTO;953226258;953226258@gmail.com;161595047;10097757
Sra. Amanda Correia;;4/5/1956;Rua São Rosendo|292|4349-25|PORTO;953226259;953226259@gmail.com;161595048;10097758
Laura Castro;;4/1/1958;Pátio São Salvador|148|4050-567|PORTO;953226260;953226260@gmail.com;161595049;10097759
Julia Novaes;;15/07/1955;Alameda  Aquilino Ribeiro|551|4100-84|PORTO;953226261;953226261@gmail.com;161595050;10097760
Dr. Miguel Rodrigues;;19/03/1955;Alameda  Aquilino Ribeiro|236|4100-83|PORTO;953226262;953226262@gmail.com;161595051;10097761
Sr. Bernardo Gonçalves;;5/4/1954;Rua São Salvador|579|4100-464|PORTO;953226263;953226263@gmail.com;161595052;10097762
Giovanna Ramos;;20/03/1957;Rua  Adolfo Casais Monteiro|175|4050-14|PORTO;953226264;953226264@gmail.com;161595053;10097763
Pietro Caldeira;;23/02/1954;Rua  Adolfo Casais Monteiro|439|4050-13|PORTO;953226265;953226265@gmail.com;161595054;10097764
Dra. Natália Castro;;6/10/1956;Rua São Sebastião|37|4050-568|PORTO;953226266;953226266@gmail.com;161595055;10097765
Marcelo Farias;;11/5/1958;Travessa São Sebastião|358|4050-569|PORTO;953226267;953226267@gmail.com;161595056;10097766
Dr. Lucas da Conceição;;13/09/1955;Rua São Tomé|482|4200-490|PORTO;953226268;953226268@gmail.com;161595057;10097767
Eduarda Alves;;25/10/1955;Rua São Tomé|462|4200-489|PORTO;953226269;953226269@gmail.com;161595058;10097768
Davi Lucca Santos;;27/09/1954;Rua São Tomé|448|4200-489|PORTO;953226270;953226270@gmail.com;161595059;10097769
Danilo da Paz;;26/06/1952;Rua São Tomé|103|4200-490|PORTO;953226271;953226271@gmail.com;161595060;10097770
Isaac Duarte;;4/6/1955;Rua São Tomé|308|4200-491|PORTO;953226272;953226272@gmail.com;161595061;10097771
Matheus Mendes;;3/3/1956;Rua São Tomé|301|4200-490|PORTO;953226273;953226273@gmail.com;161595062;10097772
Sr. Luiz Henrique Gonçalves;;24/08/1956;Rua São Tomé|499|4200-491|PORTO;953226274;953226274@gmail.com;161595063;10097773
Ana Vitória Nogueira;;29/06/1955;Rua São Tomé|282|4200-485|PORTO;953226275;953226275@gmail.com;161595064;10097774
Sra. Joana Ramos;;6/4/1953;Rua São Tomé|114|4200-488|PORTO;953226276;953226276@gmail.com;161595065;10097775
Agatha da Cruz;;20/01/1953;Rua São Tomé|168|4200-485|PORTO;953226277;953226277@gmail.com;161595066;10097776
Heloísa Rezende;;4/8/1955;Rua São Tomé|87|4200-486|PORTO;953226278;953226278@gmail.com;161595067;10097777
Maria Fernanda Sales;;23/11/1955;Rua São Tomé|128|4200-487|PORTO;953226279;953226279@gmail.com;161595068;10097778
Pietro Campos;;12/9/1956;Rua São Veríssimo|521|4200-495|PORTO;953226280;953226280@gmail.com;161595069;10097779
Rebeca Souza;;5/8/1955;Rua São Veríssimo|93|4200-493|PORTO;953226281;953226281@gmail.com;161595070;10097780
Danilo Cunha;;21/01/1954;Rua São Vicente|486|4250-444|PORTO;953226282;953226282@gmail.com;161595071;10097781
Nina Rodrigues;;15/04/1955;Rua São Vicente|229|4250-443|PORTO;953226283;953226283@gmail.com;161595072;10097782
Alana Dias;;14/10/1958;Rua São Vítor|454|4000-516|PORTO;953226284;953226284@gmail.com;161595073;10097783
Dr. Rafael da Paz;;27/06/1953;Rua São Vítor|563|4000-517|PORTO;953226285;953226285@gmail.com;161595074;10097784
Mariana da Paz;;11/5/1954;Rua São Vítor|233|4000-515|PORTO;953226286;953226286@gmail.com;161595075;10097785
Dr. Luiz Otávio da Conceição;;25/11/1952;Rua São Vítor|320|4000-514|PORTO;953226287;953226287@gmail.com;161595076;10097786
Joana Fernandes;;13/09/1955;Rua São Vítor|206|4000-513|PORTO;953226288;953226288@gmail.com;161595077;10097787
Mariana Castro;;9/4/1952;Rua São Vítor|185|4000-512|PORTO;953226289;953226289@gmail.com;161595078;10097788
Vitor Gabriel Porto;;31/05/1956;Travessa São Vítor|114|4000-519|PORTO;953226290;953226290@gmail.com;161595079;10097789
Srta. Emanuelly Pires;;10/6/1956;Travessa São Vítor|497|4000-518|PORTO;953226291;953226291@gmail.com;161595080;10097790
Vitor Gabriel Sales;;20/10/1953;Rua  Arada|156|4350-55|PORTO;953226292;953226292@gmail.com;161595081;10097791
Marcelo Cavalcanti;;6/11/1957;Rua  Saraiva de Carvalho|275|4000-520|PORTO;953226293;953226293@gmail.com;161595082;10097792
Srta. Yasmin Porto;;22/12/1955;Rua Sargento Abílio|401|4100-18|PORTO;953226294;953226294@gmail.com;161595083;10097793
Sofia Nunes;;14/07/1954;Rua Sargento Abílio|23|4100-17|PORTO;953226295;953226295@gmail.com;161595084;10097794
Mirella Oliveira;;8/6/1957;Largo  Saudade|320|4150-681|PORTO;953226296;953226296@gmail.com;161595085;10097795
Pedro Henrique Rezende;;29/07/1954;Rua  Saudade|15|4150-682|PORTO;953226297;953226297@gmail.com;161595086;10097796
Sophia Novaes;;23/06/1956;Rua  Saudade|590|4050-570|PORTO;953226298;953226298@gmail.com;161595087;10097797
Sr. Alexandre Nunes;;19/06/1955;Rua  Saudade|415|4050-570|PORTO;953226299;953226299@gmail.com;161595088;10097798
Amanda Viana;;27/05/1955;Rua  Saudade|384|4150-682|PORTO;953226300;953226300@gmail.com;161595089;10097799
Daniel Teixeira;;29/12/1955;Rua  Saudade|50|4050-570|PORTO;953226301;953226301@gmail.com;161595090;10097800
Vicente da Mota;;17/08/1956;Rua  Saudade|450|4150-682|PORTO;953226302;953226302@gmail.com;161595091;10097801
Dr. João Vitor da Rocha;;7/8/1952;Escadas  Sé|239|4050-571|PORTO;953226303;953226303@gmail.com;161595092;10097802
Ana Beatriz Peixoto;;22/09/1956;Terreiro  Sé|307|4099-34|PORTO;953226304;953226304@gmail.com;161595093;10097803
João Felipe da Rosa;;12/10/1954;Terreiro  Sé|89|4050-573|PORTO;953226305;953226305@gmail.com;161595094;10097804
Maria Clara da Mata;;9/8/1952;Rua  Sécias|444|4350-318|PORTO;953226306;953226306@gmail.com;161595095;10097805
Isadora da Mata;;15/10/1957;Rua Arcediago Vanzeller|138|4050-621|PORTO;953226307;953226307@gmail.com;161595096;10097806
Vitor Gabriel Viana;;24/02/1955;Rua  Seixal|299|4000-521|PORTO;953226308;953226308@gmail.com;161595097;10097807
Carlos Eduardo Almeida;;6/10/1955;Rua Senhor Boa Morte|563|4150-687|PORTO;953226309;953226309@gmail.com;161595098;10097808
Catarina Porto;;11/1/1954;Rua Senhor Boa Morte|496|4150-684|PORTO;953226310;953226310@gmail.com;161595099;10097809
Igor Cunha;;15/05/1955;Rua Senhor Boa Morte|593|4150-685|PORTO;953226311;953226311@gmail.com;161595100;10097810
Noah Rocha;;19/08/1955;Rua Senhor Boa Morte|379|4150-686|PORTO;953226312;953226312@gmail.com;161595101;10097811
Kevin Pires;;29/07/1953;Rua Senhor Boa Morte|271|4150-687|PORTO;953226313;953226313@gmail.com;161595102;10097812
Ana Carolina Pinto;;7/8/1954;Rua Senhor Boa Morte|71|4150-684|PORTO;953226314;953226314@gmail.com;161595103;10097813
João Vitor Oliveira;;1/2/1955;Rua Senhor Boa Morte|280|4150-684|PORTO;953226315;953226315@gmail.com;161595104;10097814
Vitor Gabriel Oliveira;;8/8/1952;Travessa Senhor Boa Morte|212|4150-688|PORTO;953226316;953226316@gmail.com;161595105;10097815
Henrique Teixeira;;30/11/1957;Viela Senhor Boa Morte|115|4150-689|PORTO;953226317;953226317@gmail.com;161595106;10097816
Marcos Vinicius Mendes;;20/12/1953;Rua Senhora Ajuda|459|4150-690|PORTO;953226318;953226318@gmail.com;161595107;10097817
Dra. Lara da Cunha;;30/07/1955;Rua Senhora Campanhã|414|4350-320|PORTO;953226319;953226319@gmail.com;161595108;10097818
Sra. Mirella Ferreira;;29/11/1956;Rua Senhora Campanhã|485|4350-323|PORTO;953226320;953226320@gmail.com;161595109;10097819
João Vitor Silva;;11/9/1957;Rua Senhora Campanhã|97|4350-322|PORTO;953226321;953226321@gmail.com;161595110;10097820
Júlia Peixoto;;24/07/1955;Rua Senhora Campanhã|286|4350-324|PORTO;953226322;953226322@gmail.com;161595111;10097821
Davi Luiz Duarte;;21/11/1953;Rua Senhora Campanhã|467|4350-320|PORTO;953226323;953226323@gmail.com;161595112;10097822
Giovanna Oliveira;;1/8/1953;Rua Senhora Campanhã|80|4350-321|PORTO;953226324;953226324@gmail.com;161595113;10097823
Mariana Martins;;20/10/1955;Rua Senhora Campanhã|487|4369-1|PORTO;953226325;953226325@gmail.com;161595114;10097824
Diego Aragão;;23/09/1953;Travessa Senhora Conceição|591|4000-524|PORTO;953226326;953226326@gmail.com;161595115;10097825
Dr. Bryan Castro;;29/06/1954;Travessa Senhora Conceição|240|4000-525|PORTO;953226327;953226327@gmail.com;161595116;10097826
Sarah Alves;;17/12/1955;Travessa Senhora Conceição|164|4000-523|PORTO;953226328;953226328@gmail.com;161595117;10097827
Ana Lívia Ferreira;;11/5/1955;Travessa Senhora Conceição|48|4000-522|PORTO;953226329;953226329@gmail.com;161595118;10097828
Leandro da Rocha;;5/11/1954;Rua Senhora Dores|325|4000-526|PORTO;953226330;953226330@gmail.com;161595119;10097829
Lara Castro;;1/6/1954;Rua Senhora Hora|510|4300-483|PORTO;953226331;953226331@gmail.com;161595120;10097830
Maria Clara Viana;;5/5/1961;Rua Senhora Hora|230|4300-482|PORTO;953226332;953226332@gmail.com;161595121;10097831
Diogo Rocha;;25/06/1959;Rua  Arco da Noeda|362|4300-32|PORTO;953226333;953226333@gmail.com;161595122;10097832
Isaac Moreira;;3/8/1960;Rua Senhora Lapa|315|4050-577|PORTO;953226334;953226334@gmail.com;161595123;10097833
Erick Rodrigues;;28/08/1958;Rua Senhora Lapa|158|4050-576|PORTO;953226335;953226335@gmail.com;161595124;10097834
Laura Cunha;;9/11/1960;Rua Senhora Lapa|508|4050-574|PORTO;953226336;953226336@gmail.com;161595125;10097835
Evelyn Silveira;;8/2/1959;Rua Senhora Lapa|173|4050-575|PORTO;953226337;953226337@gmail.com;161595126;10097836
Yuri da Rocha;;20/03/1958;Travessa Senhora Lapa|327|4050-579|PORTO;953226338;953226338@gmail.com;161595127;10097837
Raul Silva;;7/3/1957;Travessa Senhora Lapa|174|4050-578|PORTO;953226339;953226339@gmail.com;161595128;10097838
Laura Fernandes;;18/08/1960;Viela Senhora Lapa|94|4150-691|PORTO;953226340;953226340@gmail.com;161595129;10097839
Juliana Costela;;15/07/1961;Beco Senhora Luz|218|4150-692|PORTO;953226341;953226341@gmail.com;161595130;10097840
João Guilherme Lopes;;23/01/1958;Rua Senhora Luz|252|4150-696|PORTO;953226342;953226342@gmail.com;161595131;10097841
João Pedro Vieira;;17/10/1959;Rua Senhora Luz|552|4150-697|PORTO;953226343;953226343@gmail.com;161595132;10097842
Dra. Juliana Araújo;;28/07/1961;Rua Senhora Luz|436|4150-698|PORTO;953226344;953226344@gmail.com;161595133;10097843
Bernardo Gomes;;19/12/1961;Rua Senhora Luz|140|4150-694|PORTO;953226345;953226345@gmail.com;161595134;10097844
Dra. Natália Lima;;11/1/1962;Rua Senhora Luz|475|4150-693|PORTO;953226346;953226346@gmail.com;161595135;10097845
Theo Cavalcanti;;25/09/1960;Rua Senhora Luz|213|4150-695|PORTO;953226347;953226347@gmail.com;161595136;10097846
Daniela Ferreira;;8/10/1961;Travessa Senhora Luz|437|4150-699|PORTO;953226348;953226348@gmail.com;161595137;10097847
Samuel Costa;;26/06/1960;Rua Senhora Porto|425|4250-450|PORTO;953226349;953226349@gmail.com;161595138;10097848
Eloah Farias;;16/03/1961;Rua Senhora Porto|320|4250-455|PORTO;953226350;953226350@gmail.com;161595139;10097849
Luiz Gustavo Nascimento;;5/7/1959;Rua Senhora Porto|439|4250-456|PORTO;953226351;953226351@gmail.com;161595140;10097850
Ryan Barbosa;;13/11/1959;Rua Senhora Porto|302|4250-454|PORTO;953226352;953226352@gmail.com;161595141;10097851
Vitória Moura;;9/11/1959;Rua Senhora Porto|540|4250-451|PORTO;953226353;953226353@gmail.com;161595142;10097852
Sr. Igor Barros;;3/2/1961;Rua Senhora Porto|407|4250-450|PORTO;953226354;953226354@gmail.com;161595143;10097853
Ana Beatriz das Neves;;14/09/1960;Rua Senhora Porto|102|4250-452|PORTO;953226355;953226355@gmail.com;161595144;10097854
Heitor Ferreira;;30/12/1959;Rua Senhora Porto|138|4250-456|PORTO;953226356;953226356@gmail.com;161595145;10097855
Samuel Jesus;;17/05/1961;Rua Senhora Porto|308|4250-452|PORTO;953226357;953226357@gmail.com;161595146;10097856
Esther Dias;;14/05/1957;Rua Senhora Porto|470|4250-453|PORTO;953226358;953226358@gmail.com;161595147;10097857
Ana Laura Gonçalves;;21/02/1959;Rua Senhora Porto|222|4269-3|PORTO;953226359;953226359@gmail.com;161595148;10097858
Gabriela Almeida;;27/07/1962;Rua Senhora Porto|216|4269-6|PORTO;953226360;953226360@gmail.com;161595149;10097859
Isabelly da Conceição;;28/01/1958;Travessa Senhora Porto|247|4250-460|PORTO;953226361;953226361@gmail.com;161595150;10097860
Luana da Rocha;;5/9/1961;Travessa Senhora Porto|72|4250-461|PORTO;953226362;953226362@gmail.com;161595151;10097861
Rodrigo Fogaça;;26/04/1957;Travessa Senhora Porto|196|4250-462|PORTO;953226363;953226363@gmail.com;161595152;10097862
Alexandre da Conceição;;23/02/1961;Travessa Senhora Porto|502|4250-457|PORTO;953226364;953226364@gmail.com;161595153;10097863
Paulo Rocha;;24/03/1959;Travessa Senhora Porto|502|4250-458|PORTO;953226365;953226365@gmail.com;161595154;10097864
Sra. Maria Eduarda Moraes;;9/8/1959;Travessa Senhora Porto|409|4250-460|PORTO;953226366;953226366@gmail.com;161595155;10097865
Sr. Pedro Alves;;17/12/1960;Rua Senhora Verdades|536|4050-580|PORTO;953226367;953226367@gmail.com;161595156;10097866
Samuel Sales;;20/05/1959;Escadas  Sereias|593|4050-581|PORTO;953226368;953226368@gmail.com;161595157;10097867
Luiz Henrique Ramos;;20/04/1960;Travessa  Arco da Noeda|491|4300-33|PORTO;953226369;953226369@gmail.com;161595158;10097868
Evelyn Pinto;;10/12/1960;Rua  Serpa Pinto|269|4050-584|PORTO;953226370;953226370@gmail.com;161595159;10097869
Júlia Carvalho;;5/12/1959;Rua  Serpa Pinto|262|4050-585|PORTO;953226371;953226371@gmail.com;161595160;10097870
Theo Moura;;15/01/1960;Rua  Serpa Pinto|225|4050-586|PORTO;953226372;953226372@gmail.com;161595161;10097871
Eloah Almeida;;16/02/1961;Rua  Serpa Pinto|523|4250-466|PORTO;953226373;953226373@gmail.com;161595162;10097872
Renan da Mata;;1/6/1959;Rua  Serpa Pinto|120|4250-467|PORTO;953226374;953226374@gmail.com;161595163;10097873
Dr. Davi Gomes;;31/10/1960;Rua  Serpa Pinto|208|4250-468|PORTO;953226375;953226375@gmail.com;161595164;10097874
Diego Almeida;;6/5/1961;Rua  Serpa Pinto|408|4050-583|PORTO;953226376;953226376@gmail.com;161595165;10097875
Nicolas Cardoso;;9/7/1960;Rua  Serpa Pinto|284|4050-584|PORTO;953226377;953226377@gmail.com;161595166;10097876
Lavínia Martins;;5/10/1963;Rua  Serpa Pinto|474|4050-582|PORTO;953226378;953226378@gmail.com;161595167;10097877
Carolina Castro;;23/03/1960;Rua  Serpa Pinto|376|4250-463|PORTO;953226379;953226379@gmail.com;161595168;10097878
Juan Moreira;;8/12/1957;Rua  Serpa Pinto|363|4250-464|PORTO;953226380;953226380@gmail.com;161595169;10097879
Sabrina Pires;;17/06/1961;Rua  Serpa Pinto|581|4250-465|PORTO;953226381;953226381@gmail.com;161595170;10097880
Sr. Yuri Correia;;23/12/1962;Rua  Serralves|210|4150-706|PORTO;953226382;953226382@gmail.com;161595171;10097881
Maria Clara Porto;;23/03/1961;Rua  Serralves|432|4150-707|PORTO;953226383;953226383@gmail.com;161595172;10097882
Joaquim da Rosa;;3/7/1960;Rua  Serralves|434|4150-708|PORTO;953226384;953226384@gmail.com;161595173;10097883
Ryan Oliveira;;17/04/1961;Rua  Serralves|536|4150-701|PORTO;953226385;953226385@gmail.com;161595174;10097884
Emanuelly Moraes;;16/09/1958;Rua  Serralves|527|4150-703|PORTO;953226386;953226386@gmail.com;161595175;10097885
Ana Lívia Silveira;;16/03/1962;Rua  Serralves|222|4150-704|PORTO;953226387;953226387@gmail.com;161595176;10097886
Sra. Amanda Farias;;3/7/1960;Rua  Serralves|302|4150-702|PORTO;953226388;953226388@gmail.com;161595177;10097887
Thales Novaes;;20/11/1959;Rua  Serralves|138|4150-705|PORTO;953226389;953226389@gmail.com;161595178;10097888
Miguel da Mata;;27/10/1961;Calçada  Serrubia|471|4150-709|PORTO;953226390;953226390@gmail.com;161595179;10097889
Guilherme Caldeira;;5/3/1962;Avenida  Sidónio Pais|182|4100-468|PORTO;953226391;953226391@gmail.com;161595180;10097890
Arthur da Mota;;19/08/1959;Avenida  Sidónio Pais|239|4100-466|PORTO;953226392;953226392@gmail.com;161595181;10097891
Bárbara da Rocha;;4/1/1960;Avenida  Sidónio Pais|487|4100-465|PORTO;953226393;953226393@gmail.com;161595182;10097892
Dra. Juliana Moraes;;1/4/1961;Rua  Silva Pereira|260|4300-485|PORTO;953226394;953226394@gmail.com;161595183;10097893
Maria Fernanda Martins;;26/04/1963;Rua  Silva Porto|561|4250-472|PORTO;953226395;953226395@gmail.com;161595184;10097894
Rafaela Sales;;14/08/1959;Rua  Silva Porto|240|4250-473|PORTO;953226396;953226396@gmail.com;161595185;10097895
Noah Cardoso;;16/04/1959;Rua  Silva Porto|199|4250-474|PORTO;953226397;953226397@gmail.com;161595186;10097896
Raul Dias;;7/8/1957;Rua  Silva Porto|382|4250-469|PORTO;953226398;953226398@gmail.com;161595187;10097897
Sra. Elisa Correia;;22/10/1960;Rua  Silva Porto|312|4250-470|PORTO;953226399;953226399@gmail.com;161595188;10097898
Heloísa Pereira;;23/09/1958;Rua  Silva Porto|92|4250-471|PORTO;953226400;953226400@gmail.com;161595189;10097899
Rafael Monteiro;;25/10/1959;Rua  Arcos|499|4250-60|PORTO;953226401;953226401@gmail.com;161595190;10097900
Sr. Pedro Lucas Nascimento;;22/01/1961;Travessa  Silva Porto|122|4250-475|PORTO;953226402;953226402@gmail.com;161595191;10097901
Milena da Mata;;6/9/1960;Rua  Silva Tapada|294|4200-501|PORTO;953226403;953226403@gmail.com;161595192;10097902
Nathan Vieira;;18/02/1961;Rua  Silva Tapada|121|4200-500|PORTO;953226404;953226404@gmail.com;161595193;10097903
Sr. Benício Moraes;;17/04/1961;Rua  Soajo|444|4050-590|PORTO;953226405;953226405@gmail.com;161595194;10097904
Lavínia Alves;;29/08/1959;Rua  Soares de Passos|225|4150-712|PORTO;953226406;953226406@gmail.com;161595195;10097905
Enzo Gabriel Monteiro;;31/10/1963;Rua  Soares de Passos|222|4150-711|PORTO;953226407;953226407@gmail.com;161595196;10097906
Dr. Fernando Freitas;;11/10/1962;Largo  Soares dos Reis|599|4300-486|PORTO;953226408;953226408@gmail.com;161595197;10097907
Sr. Emanuel Gomes;;27/12/1957;Calçada  Sobre-O-Douro|249|4050-591|PORTO;953226409;953226409@gmail.com;161595198;10097908
Maria Fernanda Gonçalves;;16/02/1962;Rua  Sobre-o-Douro|522|4050-592|PORTO;953226410;953226410@gmail.com;161595199;10097909
Raquel Porto;;8/5/1959;Rua  Sobreiras|362|4150-713|PORTO;953226411;953226411@gmail.com;161595200;10097910
Raul Pereira;;22/03/1956;Largo  Arcos da Ribeira|566|4050-62|PORTO;953226412;953226412@gmail.com;161595201;10097911
Yasmin Mendes;;23/10/1961;Rua  Sociedade Protectora dos Animais|45|4350-325|PORTO;953226413;953226413@gmail.com;161595202;10097912
Ana Luiza das Neves;;31/08/1955;Rua  Soeiro Mendes|364|4100-469|PORTO;953226414;953226414@gmail.com;161595203;10097913
Maria Eduarda Moura;;5/10/1954;Rua  Sol|11|4000-529|PORTO;953226415;953226415@gmail.com;161595204;10097914
Natália Novaes;;26/06/1955;Rua  Sol|224|4000-530|PORTO;953226416;953226416@gmail.com;161595205;10097915
Stephany Cardoso;;7/11/1954;Rua  Sol|412|4000-527|PORTO;953226417;953226417@gmail.com;161595206;10097916
Levi Duarte;;5/4/1952;Rua  Sol|447|4000-528|PORTO;953226418;953226418@gmail.com;161595207;10097917
Srta. Emilly Ribeiro;;28/06/1954;Rua  Sousa Caldas|368|4250-477|PORTO;953226419;953226419@gmail.com;161595208;10097918
Levi Melo;;12/2/1952;Rua  Sousa Pinto|49|4250-481|PORTO;953226420;953226420@gmail.com;161595209;10097919
Henrique Martins;;24/06/1952;Rua  Sousa Pinto|226|4250-481|PORTO;953226421;953226421@gmail.com;161595210;10097920
Bruno Cunha;;6/8/1954;Rua  Sousa Pinto|311|4250-481|PORTO;953226422;953226422@gmail.com;161595211;10097921
Ana Júlia Rezende;;20/04/1954;Rua  Sousa Pinto|302|4250-481|PORTO;953226423;953226423@gmail.com;161595212;10097922
Anthony Ramos;;22/09/1954;Rua  Sousa Pinto|377|4250-481|PORTO;953226424;953226424@gmail.com;161595213;10097923
Vinicius Araújo;;21/03/1956;Rua  Sousa Pinto|343|4250-481|PORTO;953226425;953226425@gmail.com;161595214;10097924
Ana Julia Lopes;;13/12/1952;Rua  Sousa Pinto|181|4250-481|PORTO;953226426;953226426@gmail.com;161595215;10097925
Dr. Alexandre Fernandes;;4/3/1951;Rua  Sousa Pinto|570|4250-481|PORTO;953226427;953226427@gmail.com;161595216;10097926
Felipe Castro;;31/01/1954;Rua  Sousa Pinto|539|4250-481|PORTO;953226428;953226428@gmail.com;161595217;10097927
Alexandre Porto;;3/1/1953;Rua  Sousa Pinto|140|4250-481|PORTO;953226429;953226429@gmail.com;161595218;10097928
Laís Ribeiro;;2/5/1953;Rua  Sousa Pinto|343|4250-481|PORTO;953226430;953226430@gmail.com;161595219;10097929
Vitor Hugo da Luz;;29/12/1953;Rua  Sousa Pinto|118|4250-481|PORTO;953226431;953226431@gmail.com;161595220;10097930
Maité Ramos;;1/12/1954;Rua  Sousa Pinto|589|4250-481|PORTO;953226432;953226432@gmail.com;161595221;10097931
Larissa Carvalho;;3/10/1953;Rua  Sousa Pinto|119|4250-481|PORTO;953226433;953226433@gmail.com;161595222;10097932
Bianca Monteiro;;7/9/1954;Rua  Sousa Pinto|346|4250-481|PORTO;953226434;953226434@gmail.com;161595223;10097933
Alana Nascimento;;28/01/1952;Rua  Sousa Pinto|209|4250-481|PORTO;953226435;953226435@gmail.com;161595224;10097934
Ana Júlia Gonçalves;;5/4/1952;Rua  Sousa Pinto|217|4250-481|PORTO;953226436;953226436@gmail.com;161595225;10097935
Noah Silva;;8/3/1954;Rua  Sousa Pinto|381|4250-481|PORTO;953226437;953226437@gmail.com;161595226;10097936
Dr. Matheus da Cunha;;28/12/1954;Rua  Sousa Pinto|311|4250-481|PORTO;953226438;953226438@gmail.com;161595227;10097937
Maria Sophia Cunha;;23/04/1952;Rua  Sousa Pinto|107|4250-481|PORTO;953226439;953226439@gmail.com;161595228;10097938
Gabriela Barbosa;;2/8/1955;Rua  Sousa Pinto|533|4250-481|PORTO;953226440;953226440@gmail.com;161595229;10097939
Joana Rezende;;1/5/1956;Rua  Sousa Pinto|85|4250-481|PORTO;953226441;953226441@gmail.com;161595230;10097940
Nicole Souza;;25/10/1951;Rua  Sousa Pinto|16|4250-481|PORTO;953226442;953226442@gmail.com;161595231;10097941
Srta. Vitória Barbosa;;3/11/1954;Rua  Sousa Pinto|185|4250-481|PORTO;953226443;953226443@gmail.com;161595232;10097942
Marcela Campos;;6/5/1949;Rua  Sousa Pinto|262|4250-481|PORTO;953226444;953226444@gmail.com;161595233;10097943
Laís Souza;;20/10/1952;Rua  Sousa Pinto|260|4250-481|PORTO;953226445;953226445@gmail.com;161595234;10097944
Maysa Sales;;1/10/1952;Rua  Sousa Pinto|15|4250-481|PORTO;953226446;953226446@gmail.com;161595235;10097945
Luiza da Mata;;11/3/1953;Rua  Sousa Pinto|563|4250-481|PORTO;953226447;953226447@gmail.com;161595236;10097946
André Alves;;30/04/1950;Rua  Sousa Pinto|200|4250-481|PORTO;953226448;953226448@gmail.com;161595237;10097947
Alice Almeida;;25/05/1952;Rua  Sousa Pinto|331|4250-481|PORTO;953226449;953226449@gmail.com;161595238;10097948
Kevin Barbosa;;25/12/1953;Rua  Sousa Pinto|334|4250-481|PORTO;953226450;953226450@gmail.com;161595239;10097949
Júlia Castro;;2/6/1953;Rua  Sousa Pinto|510|4250-481|PORTO;953226451;953226451@gmail.com;161595240;10097950
João Dias;;5/7/1954;Rua  Sousa Pinto|418|4250-481|PORTO;953226452;953226452@gmail.com;161595241;10097951
Emanuel Aragão;;27/09/1953;Rua  Sousa Pinto|501|4250-481|PORTO;953226453;953226453@gmail.com;161595242;10097952
Benício Almeida;;2/2/1954;Rua  Sousa Pinto|95|4250-481|PORTO;953226454;953226454@gmail.com;161595243;10097953
Dra. Rafaela Porto;;17/07/1955;Rua  Sousa Pinto|541|4250-481|PORTO;953226455;953226455@gmail.com;161595244;10097954
Marcela Almeida;;2/7/1952;Rua  Sousa Pinto|16|4250-481|PORTO;953226456;953226456@gmail.com;161595245;10097955
Marcos Vinicius Nogueira;;17/02/1953;Rua  Sousa Pinto|145|4250-481|PORTO;953226457;953226457@gmail.com;161595246;10097956
Laura Fogaça;;25/04/1953;Rua  Sousa Pinto|281|4250-481|PORTO;953226458;953226458@gmail.com;161595247;10097957
